Key,Korean (KO),English (EN)
"news.site","제공 사이트","Site"
"news.tokenpost","토큰포스트","Tokenpost"
"news.coinness","코인니스","Coinness"
"news.minsAgo","분전","mins"
"board.title","제목","Title"
"board.author","작성자","Author"
"board.date","날짜","Date"
"board.views","조회","Views"
"board.likes","추천","Likes"
"board.content","내용","Content"
"board.searchPlaceholder","검색어 입력","Enter search text"
"board.write","글쓰기","Write"
"board.notice","공지","Notice"
"board.event","이벤트","Event"
"board.support","고객지원","Support"
"board.noPosts","게시물이 없습니다.","There are no posts."
"board.otherPostsBy","님의 다른글","Other posts by"
"board.noOtherPosts","다른글 내역이 없습니다.","There are no posts."
"board.comments","댓글","Comments"
"board.commentPlaceholder","댓글을 입력하세요. 부적합한 글은 삭제됩니다.","Enter your comment, Defamatory comments will be deleted."
"board.postComment","댓글 달기","Post Comment"
"boardAlert.recommended","해당 게시물을 추천하셨습니다.","You recommended this post."
"boardAlert.confirmDelete","해당 게시물을 정말 삭제하시겠습니까?","Are you sure you want to delete this post?"
"boardAlert.cannotRecommendOwn","본인의 글을 추천할 수 없습니다.","You cannot recommend your own writing."
"top100.ranking","랭킹","Ranking"
"top100.rank","순위","Rank"
"top100.member","회원","Member"
"top100.totalProfit","총 순손익","Total Profit"
"top100.todayProfit","오늘 순손익","Today's Profit"
"top100.totalVolume","총 거래량","Total Volume"
"top100.tradingFee","거래 수수료","Trading Fee"
"top100.fundingFee","펀딩 수수료","Funding Fee"
"hallOfFame.nth","제","th"
"hallOfFame.times","회","th"
"hallOfFame.mockInvestmentTop3","모의투자 대회 TOP3","Mock Investment Competition TOP3"
"hallOfFame.dailyTrading","데일리 모의투자 대회","Daily Trading Competition"
"hallOfFame.guildTop3","길드 대항전 TOP3","Guild Competition TOP3"
"hallOfFame.rank","순위","Rank"
"hallOfFame.member","회원","Member"
"hallOfFame.totalProfit","총순손익","Total Profit"
"hallOfFame.day","날짜","Day"
"market.itemShop","아이템샵","Item Shop"
"market.myItem","내 아이템","My Item"
"market.leverage100x","레버리지 x100 가능권","Leverage 100x"
"market.leverage100xDesc","24시간 동안 레버리지를 x100까지 사용합니다","Use leverage up to 100x for 24 hours"
"market.duration24h","기간 24 hour","Duration: 24 hour"
"market.positionSpy","포지션 훔쳐보기","Position Spy"
"market.positionSpyDesc","24시간 동안 다른 회원의 포지션을 훔쳐봅니다.벅스","View other traders' positions for 24 hour"
"market.usdtRecharge","USDT 재충전","USDT Recharge"
"market.usdtRechargeDesc","USDT를 기본 금액으로 충전하고 초기화 합니다.","Recharge your USDT balance for futures trading"
"market.bugs","벅스","BUGS"
"market.stock","재고","Stock"
"market.quantity","수량","Quantity"
"market.purchase","구매하기","Purchase"
"market.item","개","Item"
"market.items","해당 아이템","items"
"market.confirmPurchase","개를 보유벅스로 구매 하시겠습니까?","Would you like to purchase 1 items with your own Bugs?"
"myInfo.myInformation","내정보","My information"
"myInfo.myInfo","내정보","My info"
"myInfo.account","계정","Account"
"myInfo.id","아이디","ID"
"myInfo.joinDate","가입일","Join date"
"myInfo.password","비밀번호","password"
"myInfo.encryptedByAuth","구글 또는 네이버가 암호화","Encrypted by Google or Naver"
"myInfo.name","이름","Name"
"myInfo.email","이메일","Email"
"myInfo.certification","본인 인증","Certification"
"myInfo.cellPhone","","Cell Phone"
"myInfo.noVerification","미인증","No Verification"
"myInfo.edit","수정","Edit"
"myInfo.community","커뮤니티","Community"
"myInfo.nickname","닉네임","Nickname"
"myInfo.buyItem","구매","Buy Item"
"myInfo.profilePic","프로필 사진","Profile Pic"
"myInfo.optimizationSize","권장 크기","Optimization Size"
"myInfo.prohibitImages","문제적 이미지 금지","Prohibition of problematic images"
"myInfo.unsubscribe","회원탈퇴","Unsubscribe"
"myInfo.withdrawMembership","탈퇴하기","Withdrawal of membership" 
