Key,Korean (KO),English (EN)
"limitCloseBtn.limitClose","지정가 반대구매","Limit Close"
"limitCloseBtn.price","구매가격","Price"
"limitCloseBtn.qty","구매수량","Qty"
"marketCloseBtn.marketClose","시장가 청산","Market Close"
"bulkCloseBtn.liquidateAll","전체 청산하기","Liquidate All"
"bulkCloseBtn.confirmLiquidate","전체 포지션을 청산하시겠습니까?","Do you want to liquidate your entire position?"
"alert.checkQtyPrice","가능 수량이 아닙니다. 구매금액과 가능금액을 확인하십시오.","This is not the possible quantity. Please check the Qty and Price."
"alert.enterOrderQty","주문수량을 입력하여 주십시오.","Please enter the order quantity."
"alert.noOrdersToCancel","취소할 주문이 없습니다.","There are no orders to cancel."
"alert.liquidatePositions","[충전불가] 포지션에 체결된 주문을 모두 청산 후 시도하세요.","[Unable to recharge] Please try again after liquidating all orders concluded in the position."
"alert.noSearchResults","조회 결과가 없습니다.","There are no search results"
"alert.selectDate","날짜를 선택하여 주십시오.","Please select a date."
"usdtTrans.ethLongLiquidation","Liquidation - ETHUSDT Long (Entry 1868.84, Close 1880.99)","선물청산 - ETHUSDT 매수 (진입 1868.84, 청산 1880.99)"
"usdtTrans.ethShortLiquidation","Liquidation - ETHUSDT Short (Entry 1868.84, Close 1880.99)","선물청산 - ETHUSDT 매도 (진입 1868.84, 청산 1880.99)"
"analysis.live","실시간","Live"
"analysis.totalLiquidations","총 청산","Total Liquidations"
"analysis.exchange","거래소","Exchange"
"analysis.symbol","코인종류","Symbol"
"analysis.all","전체","All"
"analysis.hour","시간","hour"
"analysis.hourAgo","시간 전","hour"
"analysis.hoursAgo","시간 전","hours"
"analysis.symbol","심볼","Symbol"
"analysis.total","총청산","Total"
"analysis.long","롱청산","Long"
"analysis.short","숏청산","Short"
"analysis.whaleAlert","고래 경보","Whale Alert"
"analysis.tradeOrders","실시간 거래 주문","Trade Orders"
"analysis.totalSum","총 거래액","Total Sum"
"analysis.totalMax","최고거래액","Total Max"
"analysis.numOrders","거래수","Number of Orders"
"analysis.price","가격","Price"
"analysis.totalAmount","거래액","Total"
"analysis.liquidationOrders","실시간 청산 주문","Liquidation Orders"
"analysis.totalLiquiAmount","총 청산액","Total"
"analysis.maxLiquiAmount","최고 청산액","Total Max"
"analysis.numLiquidations","청산수","Number of Orders"
"analysis.liquidationMap","코인 청산맵","Liquidation Map"
"analysis.1d","1일","1d"
"analysis.7d","7일","7d"
"analysis.leverage","레버리지","Leverage"
"analysis.cumulative","청산합","Cumulative"
"analysis.longShortRatio","롱/숏 비율","Long/Short Ratio"
"analysis.5m","5분","5m"
"analysis.15m","15분","15m"
"analysis.30m","30분","30m"
"analysis.1h","1시간","1h"
"analysis.4h","4시간","4h"
"analysis.12h","12시간","12h"
"analysis.24h","24시간","24h"
"analysis.longTrade","롱거래","Long"
"analysis.shortTrade","숏거래","Short"
"analysis.fearGreed","공포 / 탐욕 지수","Fear & Greed"
"analysis.date","날짜","Date"
"analysis.extremeFear","극단적 공포","Extreme Fear"
"analysis.fear","공포","Fear"
"analysis.neutral","중립","Neutral"
"analysis.greed","낙관","Greed"
"analysis.extremeGreed","극단적 낙관","Extreme Greed"
"analysis.index","지수","Index"
"analysis.altcoinIndex","알트코인 지수","Altcoin Index"
"analysis.now","현재","Now"
"analysis.yesterday","어제","Yesterday"
"analysis.lastWeek","지난주","Last Week"
"analysis.lastMonth","지난달","Last Month"
"analysis.yearlyHigh","연간최고","Yearly High"
"analysis.yearlyLow","연간최저","Yearly Low"
"analysis.marketCap","시가총액","Market Cap."
"analysis.seasonIndex","시즌지수","Season Index"
"analysis.altcoinSeason","알트코인 시즌","Altcoin Season"
"analysis.coinName","코인명","Name"
"analysis.percentChange","변동률","Percent Change"
"analysis.rsiHeatmap","RSI 히트맵","RSI Heatmap"
"analysis.priceChange4h","가격변동률(4h)","Price Change(4h)"
"analysis.1w","1주","1w"
"analysis.coinHeatmap","코인 히트맵","Coin Heatmap"
"analysis.allExchange","전체 거래소","All Exchange"
"analysis.exchangeHeatmap","거래소 히트맵","Exchange Heatmap"
"analysis.allCoin","전체 코인","All Coin" 
