Key,Korean (KO),English (EN)
"trading.price","주문가격","Price"
"trading.direction","구매방식","Direction"
"trading.last","현재가","Last"
"trading.qty","주문수량","Qty"
"trading.buyPrice","매수가격","Buy price"
"trading.sellPrice","매도가격","Sell price"
"trading.buySize","매수금액","Buy size"
"trading.sellSize","매도금액","Sell size"
"trading.buyLong","매수 / Long","Buy / Long"
"trading.sellShort","매도 / Short","Sell / Short"
"trading.value","평가","Value"
"trading.balance","보유","Balance"
"trading.available","가능","Available"
"trading.liquidation","강제청산","forced liquidation"
"trading.exchangeRate","환율","exchange rate"
"common.krw","원","KRW"
"trading.fee","수수료","fee"
"trading.recharge","재충전","Recharge"
"trading.position","포지션","Position"
"trading.currentOrders","미체결주문","Curret Orders"
"trading.orderHistory","주문내역","Order History"
"trading.pnl","마감손익","P&L"
"trading.closeAll","일괄 청산","Close all"
"trading.contracts","종목","Contracts"
"trading.quantity","수량","Qty"
"trading.value","금액","Value"
"trading.entryPrice","진입가","Entry price"
"trading.currentPrice","현재가","Current price"
"trading.liqPrice","강제청산가","Liq.Pirce"
"trading.initialMargin","개시증거금","P. Margin"
"trading.maintenanceMargin","유지증거금","M. Margin"
"trading.unrealizedPnl","미실현손익","Unrealized P&L"
"trading.realizedPnl","실현손익","Realized P&L"
"trading.action","청산","Action"
"trading.cancelAll","일괄 취소","Cancel all"
"trading.orderPrice","주문가격","Order price"
"trading.tradingType","거래타입","Direction"
"trading.orderType","주문타입","Order Type"
"trading.orderNo","주문번호","Order No"
"trading.orderTime","주문시간","Order Time"
"trading.cancel","취소","Action"
"trading.market","전체종목","Market"
"trading.selectDate","날짜선택","Select date"
"trading.search","날짜조회","Search"
"trading.recentSearch","최근조회 (24시간)","Recent Search (24 hours)"
"trading.entryPrice","주문가","Entry Price"
"trading.tradePrice","체결가","Trade Price"
"trading.status","상태","Status"
"trading.todaySearch","오늘조회","Today Search"
"trading.liquidationPrice","청산가","liquidation price"
"trading.realizedPnl","마감순손익","Relized P&L"
"trading.openingFee","체결수수료","Opening Fee"
"trading.closedFee","청산수수료","Closed Fee"
"trading.fundingFees","펀딩수수료","Funding Fees"
"trading.type","청산타입","Type"
"trading.tradeTime","청산시간","Trade Time"
"marginModal.chooseMode","증거금(마진) 모드 변경","Choose Margin Mode"
"marginModal.cross","교차(Cross)","Cross"
"marginModal.isolated","격리(Isolated)","Isolated"
"marginModal.liquidationWarning","손해가 전체 보유금액(60%) 이상시 청산합니다.","If the loss exceeds the total holding amount (60%), it will be liquidated."
"marginModal.positionEffect","변경시 현종목 모든 포지션, 미체결주문이 영향 받습니다.","When changed, all positions and unfilled orders for the current item will be affected."
"marginModal.confirm","확인","Confirm"
"marginModal.cancel","취소","Cancel"
"leverageModal.adjustLeverage","레버리지 변경","Adjust Leverage"
"leverageModal.leverage","레버리지 비율","Leverage"
"leverageModal.leverageLimit","기본 x50배까지 가능하며 아이템 사용시 x100배까지 가능합니다.","It can be multiplied by up to x50 by default x, and can be multiplied by x100 when using items."
"leverageModal.quantityRatio","보유금액에 대한 주문 가능 수량비를 가감합니다.","Add or subtract the quantity ratio that can be ordered based on the amount held."
"leverageModal.positionEffect","변경시 현종목 모든 포지션, 미체결주문이 영향을 받습니다.","When changed, all positions and unfilled orders for the current item will be affected." 
