Key,Korean (KO),English (EN)
"gateio.timeRemaining","대회 시작까지 남은 시간","Time Until Tournament Start"
"gateio.contestStarted","대회가 시작되었습니다!","The contest has begun!"
"gateio.prizeInfo","상금안내","Prize Information"
"gateio.firstPlace","1등","1st place"
"gateio.secondPlace","2등","2nd place"
"gateio.thirdPlace","3등","3rd place"
"gateio.fourthToTenth","4-10등","4th to 10th Place"
"gateio.tournamentInfo","대회 정보","Tournament Information"
"gateio.applicationPeriod","신청 기간","Application Period"
"gateio.appPeriodDates","2025년 2월 28일 21:00 ~ 2025년 3월 16일 24:00","February 28, 2025 21:00 ~ March 16, 2025 24:00"
"gateio.competitionPeriod","대회 기간","Competition Period"
"gateio.compPeriodDates","2025년 3월 10일 18:00 ~ 2025년 4월 16일 24:00","March 10, 2025 18:00 ~ April 16, 2025 24:00"
"gateio.eligibility","참가 자격","Eligibility"
"gateio.eligibilityReq","BUGSCOIN 레퍼럴로 Gate.io 거래소 회원가입 및 KYC 인증 완료","Sign up for Gate.io through the BUGSCOIN referral and complete KYC verification."
"gateio.totalPrize","총 상금","Total Prize"
"gateio.importantNotice","주의사항","Important Notice"
"gateio.realCompetition","본 대회는 Gate.io 에서 진행되는 실제 투자 거래량 대회입니다","This competition is a real investment trading volume competition held on Gate.io."
"gateio.applyInfo","하단의 Gate.io 가입하러 가기 버튼을 통해 회원가입, KYC 인증 완료 된 계정으로 대회 신청이 가능합니다 (기존의 개미톡 레퍼럴 가입자는 동일하게 신청 가능합니다.)","You can apply for the competition with an account that has completed registration and KYC verification via the \"Sign Up for Gate.io\" button below. (Existing Ant Talk referral users can apply as well.)"
"gateio.disqualification","비정상적인 방법으로 참여하는 경우 참여 자격 취소 및 상금 박탈 처리됩니다.","Participation using abnormal methods will result in disqualification and forfeiture of prizes."
"gateio.inquiries","추가 문의사항은 하단의 고객센터 문의 버튼을 통해 문의 바랍니다.","For further inquiries, please contact customer support via the button below."
"gateio.customerSupport","개미톡 고객센터 바로가기","Go to ANTTALK Customer Support"
"gateio.signUp","대회 신청하러 가기","Sign Up Now"
"tradingModal.precautions","모의투자 유의사항","Simulated investment precautions"
"tradingModal.mockContent","ANTTALK 컨텐츠는 실제 거래(체결)이 되지 않는 모의투자 컨텐츠 입니다.","ANTTALK content is mock investment content that does not result in actual transactions (conclusions)."
"tradingModal.virtualPoints","ANTTALK USDT는 가상의 포인트로 현금으로 충전 및 환전이 불가능 하며\n커뮤니티 활동을 통해 획득할 수 있습니다.","ANTTALK USDT is a virtual point that cannot be charged or exchanged for cash and can be obtained through community activities."
"tradingModal.understood","이해하고 확인하였음","ANTTALK USDT is a virtual point that cannot be charged or exchanged for cash and can be obtained through community activities."
"tradingModal.dontShow24h","24시간 안보기","Don't watch for 24 hours"
"trading.usdtPerpetual","USDT 선물거래","USDT Perpetual"
"trading.indexPrice","인덱스 가격","Index Price"
"trading.24hChange","변경률(24H)","24H Change %"
"trading.24hHigh","최고가(24H)","24H High"
"trading.24hLow","최저가(24H)","24H Low"
"trading.24hTurnover","턴오버(24H/USDT)","24H Turnover(USDT)"
"trading.24hVolume","거래량(24H/BTC)","24H Volume(CoinName)"
"trading.openInterest","미결제약정(24H/BTC)","Open Interest()"
"trading.fundingRate","펀딩율 / 남은시간","Funding Rate / Countdown"
"trading.1m","1분","1m"
"trading.indicators","지표","Indicators"
"trading.volume","거래량","Volume"
"trading.6m","6분","6m"
"trading.3m","3분","3m"
"trading.1d","1날","1d"
"trading.5d","5날","5d"
"trading.1month","1달","1m"
"trading.log","로그","log"
"trading.auto","자동","auto"
"trading.orderBook","호가창","Order Book"
"trading.recentTrades","최근거래","Recent Trades"
"trading.cross","교차","Cross"
"trading.limit","지정가","Limit"
"trading.market","시장가","Market"
"trading.sound","알림음","Sound" 
